saving only one halfx,y
5.354924665347355983e+01,-5.252834744789769417e+00
5.355148469567739511e+01,-5.038433326635082032e+00
5.355365809817498501e+01,-4.824031908480394648e+00
5.355576709860977758e+01,-4.609630490325714369e+00
5.355781191681999331e+01,-4.395229072171026985e+00
5.355979275484359192e+01,-4.180827654016345818e+00
5.356170979691145817e+01,-3.966426235861658434e+00
5.356356320942852989e+01,-3.752024817706978155e+00
5.356535314094271882e+01,-3.537623399552290770e+00
5.356707972210161728e+01,-3.323221981397610048e+00
5.356874306559673471e+01,-3.108820563242922663e+00
5.357034326609490194e+01,-2.894419145088242384e+00
5.357188040015714137e+01,-2.680017726933555000e+00
5.357335452614409377e+01,-2.465616308778874277e+00
5.357476568410834972e+01,-2.251214890624186893e+00
5.357611389567312443e+01,-2.036813472469499509e+00
5.357739916389705570e+01,-1.822412054314819008e+00
5.357862147312475543e+01,-1.608010636160131401e+00
5.357978078882302242e+01,-1.393609218005451122e+00
5.358087705740205564e+01,-1.179207799850763516e+00
5.358191020602151866e+01,-9.648063816960830152e-01
5.358288014238092245e+01,-7.504049635413956310e-01
5.358378675449405648e+01,-5.360035453867151300e-01
5.358462991044682155e+01,-3.216021272320276903e-01
5.358540945813815881e+01,-1.072007090773471755e-01
5.358612524069157956e+01,1.072007090773402505e-01
5.358677744078065075e+01,3.216021272320276903e-01
5.358736657834258210e+01,5.360035453867082467e-01
5.358789316492487131e+01,7.504049635413956310e-01
5.358835768852044623e+01,9.648063816960761319e-01
5.358876061408692237e+01,1.179207799850763516e+00
5.358910238404163096e+01,1.393609218005444017e+00
5.358938341873349742e+01,1.608010636160131401e+00
5.358960411689240289e+01,1.822412054314812124e+00
5.358976485605697349e+01,2.036813472469499509e+00
5.358986599298152953e+01,2.251214890624179787e+00
5.358990786402291207e+01,2.465616308778867172e+00
5.358989078550791163e+01,2.680017726933555000e+00
5.358981505408181789e+01,2.894419145088235279e+00
5.358968094703887886e+01,3.108820563242922663e+00
5.358948872263515995e+01,3.323221981397603386e+00
5.358923862038422925e+01,3.537623399552290770e+00
5.358893086133650741e+01,3.752024817706971049e+00
5.358856564834233183e+01,3.966426235861658434e+00
5.358814316629961638e+01,4.180827654016338712e+00
5.358766358238622729e+01,4.395229072171026985e+00
5.358712704627764367e+01,4.609630490325707264e+00
5.358653369035022962e+01,4.824031908480394648e+00
5.358588362987045173e+01,5.038433326635074927e+00
5.358517696317043288e+01,5.252834744789762311e+00
5.358441377181014076e+01,5.467236162944449696e+00
5.358359412072643124e+01,5.681637581099129974e+00
5.358271805836933765e+01,5.896038999253818247e+00
5.358178561682570518e+01,6.110440417408498526e+00
5.358079681193060395e+01,6.324841835563185910e+00
5.357975164336650664e+01,6.539243253717866189e+00
5.357865009475062834e+01,6.753644671872553573e+00
5.357749213371043595e+01,6.968046090027233852e+00
5.357627771194766098e+01,7.182447508181921236e+00
5.357500676529080863e+01,7.396848926336602403e+00
5.357367921373641906e+01,7.611250344491290676e+00
5.357229496147895986e+01,7.825651762645970067e+00
5.357085389692993971e+01,8.040053180800663668e+00
5.356935589272568876e+01,8.254454598955344835e+00
5.356780080572440284e+01,8.468856017110026002e+00
5.356618847699218122e+01,8.683257435264705393e+00
5.356451873177830691e+01,8.897658853419400771e+00
5.356279137947964131e+01,9.112060271574080161e+00
5.356100621359426128e+01,9.326461689728761328e+00
5.355916301166422500e+01,9.540863107883442495e+00
5.355726153520758004e+01,9.755264526038136097e+00
5.355530152963948609e+01,9.969665944192817264e+00
5.355328272418244495e+01,1.018406736234749665e+01
5.355120483176553847e+01,1.039846878050219203e+01
5.354906754891273124e+01,1.061287019865687142e+01
5.354687055562002485e+01,1.082727161681155259e+01
5.354461351522134294e+01,1.104167303496623376e+01
5.354229607424318260e+01,1.125607445312092736e+01
5.353991786224780469e+01,1.147047587127561030e+01
5.353747849166483519e+01,1.168487728943028792e+01
5.353497755761104315e+01,1.189927870758496731e+01
5.353241463769840891e+01,1.211368012573966269e+01
5.352978929182980750e+01,1.232808154389434385e+01
5.352710106198268392e+01,1.254248296204902502e+01
5.352434947197998838e+01,1.275688438020371862e+01
5.352153402724849229e+01,1.297128579835840156e+01
